service_id,date,exception_type
"3441_345317","20220322","1"
"3441_345317","20220323","1"
"3441_345317","20220324","1"
"3441_345317","20220325","1"
"3441_345317","20220326","1"
"3441_345317","20220328","1"
"3441_345317","20220329","1"
"3441_345317","20220330","1"
"3441_345317","20220331","1"
"3441_345318","20220228","1"
"3441_345318","20220301","1"
"3441_345318","20220302","1"
"3441_345318","20220303","1"
"3441_345318","20220304","1"
"3441_345318","20220305","1"
"3441_345318","20220307","1"
"3441_345318","20220308","1"
"3441_345318","20220309","1"
"3441_345318","20220310","1"
"3441_345318","20220311","1"
"3441_345318","20220312","1"
"3441_345318","20220314","1"
"3441_345318","20220315","1"
"3441_345318","20220316","1"
"3441_345318","20220317","1"
"3441_345318","20220318","1"
"3441_345318","20220319","1"
"3441_345318","20220321","1"
"3441_345318","20220322","1"
"3441_345318","20220323","1"
"3441_345318","20220324","1"
"3441_345318","20220325","1"
"3441_345318","20220326","1"
"3441_345318","20220328","1"
"3441_345318","20220329","1"
"3441_345318","20220330","1"
"3441_345318","20220331","1"
"3441_345319","20220228","1"
"3441_345319","20220301","1"
"3441_345319","20220303","1"
"3441_345319","20220304","1"
"3441_345319","20220307","1"
"3441_345319","20220308","1"
"3441_345319","20220310","1"
"3441_345319","20220311","1"
"3441_345319","20220314","1"
"3441_345319","20220315","1"
"3441_345319","20220317","1"
"3441_345319","20220318","1"
"3441_345319","20220321","1"
"3441_345319","20220322","1"
"3441_345319","20220324","1"
"3441_345319","20220325","1"
"3441_345319","20220328","1"
"3441_345319","20220329","1"
"3441_345319","20220331","1"
"3441_345320","20220228","1"
"3441_345320","20220301","1"
"3441_345320","20220302","1"
"3441_345320","20220303","1"
"3441_345320","20220304","1"
"3441_345320","20220305","1"
"3441_345320","20220307","1"
"3441_345320","20220308","1"
"3441_345320","20220309","1"
"3441_345320","20220310","1"
"3441_345320","20220311","1"
"3441_345320","20220312","1"
"3441_345320","20220314","1"
"3441_345320","20220315","1"
"3441_345320","20220316","1"
"3441_345320","20220317","1"
"3441_345320","20220318","1"
"3441_345320","20220319","1"
"3441_345320","20220321","1"
"3441_345320","20220322","1"
"3441_345320","20220323","1"
"3441_345320","20220324","1"
"3441_345320","20220325","1"
"3441_345320","20220326","1"
"3441_345320","20220328","1"
"3441_345320","20220329","1"
"3441_345320","20220330","1"
"3441_345320","20220331","1"
"3441_345321","20220228","1"
"3441_345321","20220301","1"
"3441_345321","20220302","1"
"3441_345321","20220303","1"
"3441_345321","20220304","1"
"3441_345321","20220305","1"
"3441_345321","20220307","1"
"3441_345321","20220308","1"
"3441_345321","20220309","1"
"3441_345321","20220310","1"
"3441_345321","20220311","1"
"3441_345321","20220312","1"
"3441_345321","20220314","1"
"3441_345321","20220315","1"
"3441_345321","20220316","1"
"3441_345321","20220317","1"
"3441_345321","20220318","1"
"3441_345321","20220319","1"
"3441_345321","20220321","1"
"3441_345321","20220322","1"
"3441_345321","20220323","1"
"3441_345321","20220324","1"
"3441_345321","20220325","1"
"3441_345321","20220326","1"
"3441_345321","20220328","1"
"3441_345321","20220329","1"
"3441_345321","20220330","1"
"3441_345321","20220331","1"
"3441_345322","20220228","1"
"3441_345322","20220301","1"
